feature,importance
EEG_Gamma_AF8_median,0.37366557
EEG_Gamma_AF8_min,0.34204656
EEG_Gamma_AF8_max,0.10322613
EEG_Gamma_AF8_std,0.0723828
EEG_Delta_AF7_min,0.035704285
EEG_Delta_AF7_range,0.014051787
EEG_Delta_TP9_mean,0.013591554
EEG_Theta_TP9_std,0.00719446
EEG_Beta_AF8_min,0.0048263636
EEG_Gamma_AF8_q25,0.0043610963
EEG_Delta_AF8_mean,0.0041714436
EEG_Gamma_AF7_std,0.003986129
EEG_Gamma_AF8_mean,0.003079339
EEG_Alpha_AF7_mean,0.0030045272
EEG_Beta_AF7_max,0.00269067
EEG_Theta_AF8_q75,0.0021375322
EEG_Gamma_TP9_max,0.0017579652
EEG_Delta_TP9_std,0.001454228
EEG_Gamma_TP9_std,0.0011633353
EEG_Theta_AF7_skew,0.000844439
EEG_UnixTime_mean,0.0007192132
EEG_Delta_AF7_std,0.00059639843
EEG_Beta_TP9_std,0.0005249529
EEG_Alpha_AF7_max,0.00044938142
EEG_UnixTime_range,0.00043792484
EEG_UnixTime_skew,0.00020728467
EEG_Beta_AF7_min,0.00019940149
EEG_Beta_AF8_range,0.0001983365
EEG_Theta_AF8_range,0.00018136896
EEG_Delta_AF8_min,0.00017581959
EEG_Delta_AF7_median,0.00012959274
EEG_Alpha_AF7_std,9.865254e-05
EEG_Gamma_TP9_mean,9.508223e-05
EEG_Beta_AF7_std,9.172197e-05
EEG_Beta_AF7_skew,8.551613e-05
EEG_Delta_TP9_max,6.664575e-05
EEG_Theta_AF8_mean,6.2648425e-05
EEG_Delta_TP9_range,5.9633552e-05
EEG_UnixTime_std,4.2775424e-05
EEG_Alpha_TP9_std,3.5737005e-05
EEG_Delta_AF7_skew,3.1259344e-05
EEG_Alpha_AF8_mean,2.8798619e-05
EEG_UnixTime_kurtosis,2.456069e-05
EEG_Alpha_TP10_skew,1.9927287e-05
EEG_Beta_AF8_median,1.1791362e-05
EEG_Delta_TP10_skew,1.0464861e-05
EEG_Gamma_TP9_skew,1.0124804e-05
EEG_Beta_AF8_std,9.646913e-06
EEG_Delta_TP10_std,9.551502e-06
EEG_Gamma_AF8_range,8.061171e-06
EEG_Gamma_AF8_skew,5.8974365e-06
EEG_Theta_TP10_std,4.2952856e-06
EEG_Beta_TP9_skew,4.0891287e-06
EEG_Alpha_TP10_kurtosis,4.0300874e-06
EEG_Theta_AF7_std,3.3976567e-06
EEG_Alpha_TP10_std,3.2338141e-06
EEG_Delta_TP9_skew,2.3498171e-06
EEG_Theta_AF8_std,1.8743743e-06
EEG_Delta_TP9_kurtosis,1.8410153e-06
EEG_Beta_TP9_mean,1.7812132e-06
EEG_Delta_AF7_mean,1.4802766e-06
EEG_Beta_AF7_q25,1.4472319e-06
EEG_Theta_AF8_skew,9.829432e-07
EEG_Theta_AF7_min,8.0521903e-07
EEG_Delta_AF7_q75,0.0
EEG_Gamma_AF8_kurtosis,0.0
EEG_Beta_AF8_mean,0.0
EEG_Delta_AF8_std,0.0
EEG_Beta_AF7_q75,0.0
EEG_Beta_AF7_kurtosis,0.0
EEG_Delta_TP9_q25,0.0
EEG_Beta_AF8_max,0.0
EEG_Delta_AF7_q25,0.0
EEG_Beta_AF7_median,0.0
EEG_Beta_AF7_range,0.0
EEG_UnixTime_max,0.0
EEG_Gamma_AF7_q25,0.0
EEG_Delta_AF8_range,0.0
EEG_Delta_AF8_max,0.0
EEG_Beta_AF8_kurtosis,0.0
EEG_Beta_AF7_mean,0.0
EEG_Beta_TP9_q75,0.0
EEG_Beta_TP9_q25,0.0
EEG_Beta_TP9_kurtosis,0.0
EEG_UnixTime_min,0.0
EEG_Beta_TP9_median,0.0
EEG_Beta_TP9_range,0.0
EEG_Beta_TP9_max,0.0
EEG_Beta_TP9_min,0.0
EEG_Delta_AF8_median,0.0
EEG_Alpha_TP10_q75,0.0
EEG_Alpha_TP10_q25,0.0
EEG_Beta_AF8_skew,0.0
EEG_Beta_TP10_mean,0.0
EEG_Beta_AF8_q25,0.0
EEG_Beta_AF8_q75,0.0
EEG_Gamma_AF7_skew,0.0
EEG_Gamma_AF7_median,0.0
EEG_Gamma_AF7_range,0.0
EEG_Gamma_AF7_q75,0.0
EEG_Gamma_AF7_max,0.0
EEG_Gamma_AF7_min,0.0
EEG_UnixTime_q25,0.0
EEG_Gamma_AF7_mean,0.0
EEG_Gamma_TP9_q75,0.0
EEG_Gamma_TP9_q25,0.0
EEG_Delta_TP9_q75,0.0
EEG_Gamma_TP9_kurtosis,0.0
EEG_UnixTime_median,0.0
EEG_Gamma_TP9_median,0.0
EEG_Gamma_TP9_range,0.0
EEG_UnixTime_q75,0.0
EEG_Gamma_TP9_min,0.0
EEG_Delta_TP9_min,0.0
EEG_Delta_AF7_kurtosis,0.0
EEG_Beta_TP10_q75,0.0
EEG_Beta_TP10_q25,0.0
EEG_Delta_AF7_max,0.0
EEG_Beta_TP10_skew,0.0
EEG_Beta_TP10_median,0.0
EEG_Beta_TP10_range,0.0
EEG_Beta_TP10_max,0.0
EEG_Beta_TP10_min,0.0
EEG_Beta_TP10_std,0.0
EEG_Gamma_AF7_kurtosis,0.0
EEG_Beta_TP10_kurtosis,0.0
EEG_Delta_TP10_min,0.0
EEG_Alpha_TP10_median,0.0
EEG_Theta_TP10_kurtosis,0.0
EEG_Theta_AF7_kurtosis,0.0
EEG_Theta_AF7_q25,0.0
EEG_Theta_AF7_q75,0.0
EEG_Theta_AF8_min,0.0
EEG_Theta_AF8_max,0.0
EEG_Delta_TP10_mean,0.0
EEG_Theta_AF8_median,0.0
EEG_Theta_AF8_kurtosis,0.0
EEG_Theta_AF8_q25,0.0
EEG_Delta_TP9_median,0.0
EEG_Theta_TP10_mean,0.0
EEG_Theta_TP10_min,0.0
EEG_Theta_TP10_max,0.0
EEG_Theta_TP10_range,0.0
EEG_Theta_TP10_median,0.0
EEG_Theta_AF7_median,0.0
EEG_Theta_AF7_range,0.0
EEG_Theta_AF7_max,0.0
EEG_Theta_TP9_min,0.0
EEG_Delta_TP10_range,0.0
EEG_Delta_TP10_median,0.0
EEG_Delta_TP10_kurtosis,0.0
EEG_Delta_TP10_q25,0.0
EEG_Delta_TP10_q75,0.0
EEG_Theta_TP9_mean,0.0
EEG_Theta_TP9_max,0.0
EEG_Theta_AF7_mean,0.0
EEG_Theta_TP9_range,0.0
EEG_Theta_TP9_median,0.0
EEG_Theta_TP9_skew,0.0
EEG_Theta_TP9_kurtosis,0.0
EEG_Theta_TP9_q25,0.0
EEG_Theta_TP9_q75,0.0
EEG_Theta_TP10_skew,0.0
EEG_Theta_TP10_q25,0.0
EEG_Alpha_TP10_range,0.0
EEG_Theta_TP10_q75,0.0
EEG_Alpha_AF7_q25,0.0
EEG_Alpha_AF7_q75,0.0
EEG_Alpha_AF8_std,0.0
EEG_Alpha_AF8_min,0.0
EEG_Alpha_AF8_max,0.0
EEG_Alpha_AF8_range,0.0
EEG_Alpha_AF8_median,0.0
EEG_Alpha_AF8_skew,0.0
EEG_Alpha_AF8_kurtosis,0.0
EEG_Alpha_AF8_q25,0.0
EEG_Alpha_AF8_q75,0.0
EEG_Alpha_TP10_mean,0.0
EEG_Delta_TP10_max,0.0
EEG_Alpha_TP10_min,0.0
EEG_Alpha_TP10_max,0.0
EEG_Alpha_AF7_kurtosis,0.0
EEG_Alpha_AF7_skew,0.0
EEG_Alpha_AF7_median,0.0
EEG_Alpha_TP9_skew,0.0
EEG_Alpha_TP9_mean,0.0
EEG_Delta_AF8_q75,0.0
EEG_Alpha_TP9_min,0.0
EEG_Alpha_TP9_max,0.0
EEG_Alpha_TP9_range,0.0
EEG_Alpha_TP9_median,0.0
EEG_Alpha_TP9_kurtosis,0.0
EEG_Alpha_AF7_range,0.0
EEG_Alpha_TP9_q25,0.0
EEG_Alpha_TP9_q75,0.0
EEG_Delta_AF8_q25,0.0
EEG_Delta_AF8_kurtosis,0.0
EEG_Alpha_AF7_min,0.0
EEG_Delta_AF8_skew,0.0
EEG_Gamma_AF8_q75,0.0
